# Extracted from Russian Wiktionary/Kaikki; review before redistribution.
блудодѣйствовать	блудодействовать	
блудящій	блудящий	
блуждающій	блуждающий	
блуженіе	блужение	
блъха	энтомол. блоха	
бльвати	блевать, рвать	
бльвотина	рвота	
бльскъ	блеск	
бльснѫти	блеснуть	
бльснꙋти	блеснуть	
бльстѣти	блестеть	
бльщаниѥ	блеск	
бльщати	блестеть	
бльщати сѧ	блестеть	
блювотина	рвота	
блюда	чаша	
блюдо	дискос	
блюдъ	блюдо	
блюдьница	блудница	
блюдьнꙑи	заблуждающийся	
блюдьце	малое блюдо	
блюдєниѥ	наблюдение	
блюсти	соблюдать	
блюсти	смотреть, следить	
блюсти	охранять, оберегать	
блюсти сѧ	беречься	
блюстєль	блюститель	
блющь	плющ	
блєкотати	блеять	
блєхъчии	кузнец	
блѣдный	бледный	
блѣдость	бледность	
блѣдъ	бледный	
блѣдѣти	бледнеть	
блѣꙗти	блеять	
блѧдословити	хулить	
блѧдь	болтун	
блѧдьникъ	пустомеля	
блѧдьникъ	болтун	
блѧдьнъ	болтливый	
блѧдьнꙑи	вздорный	
блѧдьнꙗ	прелюбодеяние	
блѧдьскꙑи	ложный	
блѧдєниѥ	пустословие	
блѧсти	суесловить	
блѧсти	заблуждаться, ошибаться	
блѫдилищє	место разврата	
блѫдити	блуждать	
блѫдити	развратничать	
блѫдолюбиѥ	развратность	
блѫдъ	блуд	
блѫдьникъ	развратник	
блѫдьница	блудница	
блѫдьничьскъ	блудницы	
блѫдьничьство	проституция	
блѫдьно	распутно, беспутно	
блѫдьнъ	распутный	
блѫждєниѥ	разврат	
блѹдити	блуждать	
блꙋдити	заводить не туда	
блꙋдодѣꙗти	блудодействовать	
блꙋжєниѥ	распутство	
бо	ибо	
бобливꙑи	косноязычный	
бобровина	бобровое мясо	
бобровой	вариант бобровый	
бобровьникъ	ловец бобров	
бобръ	бобр	
бобъ	боб	
бобꙑль	селянин без пахотной земли	
богатина	богач	
богатити	обогощать	
богатичищь	сын богача	
богатой	вариант богатый	
богатъ	богатый	
богатьно	обильно	
богатьнꙑи	богатый	
богатьство	богатство	
богатѣти	богатеть	
богатѧ	богатеющий	
богатꙑи	богатый	
богатꙑрь	богатырь, витязь	
богоавлѥниѥ	явление бога	
богоборьнъ	богоборческий	
богоборьць	восстающий против Бога	
богоборьць	богоборец	
богоборѥниѥ	богоборчество	
боговидимꙑи	несущий бога	
боговидьць	видящий Бога	
боговидьць	видящий бога	
боговъгодьнъ	богоугодный	
боговєсєльнъ	радующийся богу	
боговѣтиꙗ	божественный оратор	
богоглаголивꙑи	вещающий по внушению бога	
богогласъ	боговдохновенный	
богогодьнъ	угодный богу	
богодъхновєнъ	боговдохновенный	
боголишиѥ	неразумие	
боголишь	глупость	
боголюбивъ	набожный	
боголюбимꙑи	любимый Богом	
боголюбица	любящая Бога	
боголюбьзнꙑи	угодный Богу	
боголюбьзьно	угодно Богу	
боголюбьзьнѣ	угодно Богу	
боголюбьць	любящий Бога	
боголюбьць	человек любящий Бога	
боголѣпьно	прилично Богу	
боголѣпьно	богоугодно	
